chapter,quote,note
12 Common Regression Mistakes: The mandatory warning label,The accepted convention is to reject a null hypothesis when we observe something that would happen by chance only 1 in 20 times or less if the null hypothesis were true,
12 Common Regression Mistakes: The mandatory warning label,"For example, one should not design a research strategy built around the following premise: Since we don’t know what causes autism, we should put as many potential explanatory variables as possible in the regression equation just to see what might turn up as statistically significant; then maybe we’ll get some answers. If you put enough junk variables in a regression equation, one of them is bound to meet the threshold for statistical significance just by chance",
12 Common Regression Mistakes: The mandatory warning label,"Your results can be compromised if you include too many variables, particularly extraneous explanatory variables with no theoretical justification",
12 Common Regression Mistakes: The mandatory warning label,"If a regression equation includes two or more explanatory variables that are highly correlated with each other, the analysis will not necessarily be able to discern the true relationship between each of those variables and the outcome that we are trying to explain.",
12 Common Regression Mistakes: The mandatory warning label,"Regression results will be misleading and inaccurate if the regression equation leaves out an important explanatory variable, particularly if other variables in the equation “pick up” that effect.",
12 Common Regression Mistakes: The mandatory warning label,"We should have reason to believe that our explanatory variables affect the dependent variable, and not the other way around",
12 Common Regression Mistakes: The mandatory warning label,"The point is that we should not use explanatory variables that might be affected by the outcome that we are trying to explain, or else the results will become hopelessly tangled",
12 Common Regression Mistakes: The mandatory warning label,"As with any other tool, the further one deviates from its intended use, the less effective, or even potentially dangerous, it’s going to be.",
12 Common Regression Mistakes: The mandatory warning label,"Regression analysis is meant to be used when the relationship between variables can be expressed using a linear equation. (There are ways to transform nonlinear relationships into linear ones, such as by taking the logarithm of a variable, but we are not going to do that here",
11 Regression Analysis: The miracle elixir,"Regression analysis (often called multiple regression analysis when more than one explanatory variable is involved, or multivariate regression analysis) will give us a coefficient for each explanatory variable included in the regression equation",
11 Regression Analysis: The miracle elixir,"When we include multiple variables in the regression equation, the analysis gives us an estimate of the linear association between each explanatory variable and the dependent variable while holding other dependent variables constant, or “controlling for” these other factors",
11 Regression Analysis: The miracle elixir,One rough rule of thumb is that the coefficient is likely to be statistically significant when the coefficient is at least twice the size of the standard error,
11 Regression Analysis: The miracle elixir,effect is not likely to be a product of chance—but that effect may be so small as to be trivial or socially insignificant,"An $80 increase in annual income for people with blonde hair could be statically significant with a low probability to be explained by chance, but that's not enough of change to warrant dying your hair or investigating for discrimination. This is where domain knowledge and judgement come into play."
11 Regression Analysis: The miracle elixir,we may find an explanatory variable that has a statistically significant impact on our outcome of interest—meaning that the observed,
11 Regression Analysis: The miracle elixir,Size. How big is the observed effect between the independent variable and the dependent variable,
11 Regression Analysis: The miracle elixir,Sign. The sign (positive or negative) on the coefficient for an independent variable tells us the direction of its association with the dependent variable (the outcome we are trying to explain,Negative means an inverse relationship and shown with a downward sloping line from left to right. Positive is the exact opposite.
11 Regression Analysis: The miracle elixir,"For any regression coefficient, you will generally be interested in three things: sign, size, and significance.","y= a + bx; where y is the dependent var,  a is the y-intercept, b is the slope of the line, and x is the dependent var
The result of this equation is known as the regression coefficient and quantifies how much y changes given every 1 unit change in x, eg for every 1 unit increase in x, there's a 4.5 unit change in y"
11 Regression Analysis: The miracle elixir,"If you were asked to describe the pattern, you might say something along the lines of “Weight seems to increase with height.” This is not a terribly insightful or specific statement. Regression analysis enables us to go one step further and “fit a line” that best describes a linear relationship between the two variables",
11 Regression Analysis: The miracle elixir,"At its core, regression analysis seeks to find the “best fit” for a linear relationship between two variables. A simple example is the relationship between height and weight. People who are taller tend to weigh more—though that is obviously not always the case",
11 Regression Analysis: The miracle elixir,"If 10,000 people who exercise three or more times a week have sharply lower rates of cardiovascular disease than 10,000 people who don’t exercise (but are similar in all other important respects), then the chances are pretty good that we will see a similar association between exercise and cardiovascular health for the broader population",A regression analysis is *not* definitive proof; it allows us to accept or reject the null hypothesis and quantify the level of probability the null hypothesis is correct/incorrect
11 Regression Analysis: The miracle elixir,"Personal computing has made the mechanics of regression analysis almost effortless. The problem is that the mechanics of regression analysis are not the hard part; the hard part is determining which variables ought to be considered in the analysis and how that can best be done. Regression analysis is like one of those fancy power tools. It is relatively easy to use, but hard to use well—and potentially dangerous when used improperly.",
11 Regression Analysis: The miracle elixir,"Regression analysis is the statistical tool that helps us deal with this challenge. Specifically, regression analysis allows us to quantify the relationship between a particular variable and an outcome that we care about while controlling for other factors","Hold other variables constant while allowing only one variable to be manipulated. For instance, a study comparing rates of heart disease among workers would want only the job categories to change and all other variables, eg exercise habits, preexisting health conditions, etc, to be similar for each individual within the sample"
Appendix to Chapter 10,One of the most basic statistical principles is that a proper sample will look like the population from which it is drawn. The real challenge of polling is twofold: finding and reaching that proper sample; and eliciting information from that representative group in a way that accurately reflects what its members believe.,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"We know that people shade the truth, particularly when the questions asked are embarrassing or sensitive","A lot of people lied about voting for Trump in 2016, affecting the polls leading up to and after the election"
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),Are respondents telling the truth?,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"The key point, says Newport, is to view any polling result in context. No single question or poll can capture the full depth of public opinion on a complex issue",
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"When we solicit public opinion, the phrasing of the question and the choice of language can matter enormously",
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),Survey results can be extremely sensitive to the way a question is asked,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),Have the questions been posed in a way that elicits accurate information on the topic of interest,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"Pollsters can test for “nonresponse bias” by analyzing available data on the respondents whom they were not able to contact. Do they live in a particular area? Are they refusing to answer for a particular reason? Are they more likely to be from a particular racial, ethnic, or income group? This kind of analysis can determine whether or not a low response rate will affect the results of the poll.",
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),One indicator of a poll’s validity is the response rate: What proportion of respondents who were chosen to be contacted ultimately completed the poll or survey,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),Any method of gathering opinion that systematically excludes some segment of the population is also prone to bias,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"Any poll that depends on individuals who select into the sample, such as a radio call-in show or a voluntary Internet survey, will capture only the views of those who make the effort to voice their opinions","Strong opinions; lots of free time; generally *not* representative of the population

Yelp reviews aren't necessarily trustworthy lol"
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),Is this an accurate sample of the population whose opinions we are trying to measure,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),"Below are the key methodological questions one ought to ask when conducting a poll, or when reviewing the work of others.",
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),some population that is based on the views expressed by some sample drawn from that population,
10 Polling: How we know that 64 percent of Americans support the death penalty (with a sampling error ± 3 percent),It may be less obvious that the methodology of polling is just one more form of statistical inference. A poll (or survey) is an inference about the opinions,
9 Inference: Why my statistics professor thought I might have cheated,"If we require five eyewitnesses in order to convict every criminal defendant, then a lot of guilty defendants are wrongly going to be set free. (Of course, fewer innocents will go to prison.) If we adopt a .001 significance level in the clinical trials for all new cancer drugs, then we will indeed minimize the approval of ineffective drugs. (There is only a 1 in 1,000 chance of wrongly rejecting the null hypothesis that the drug is no more effective than a placebo.) Yet now we introduce the risk of not approving many effective drugs because we have set the bar for approval so high. This is known as a Type II error, or false negative",
9 Inference: Why my statistics professor thought I might have cheated,"But there is a tension here. The higher the threshold for rejecting the null hypothesis, the more likely it is that we will fail to reject a null hypothesis that ought to be rejected",
9 Inference: Why my statistics professor thought I might have cheated,"If our burden of proof for rejecting the null hypothesis is too low (e.g., .1), we are going to find ourselves periodically rejecting the null hypothesis when in fact it is true",False positive
9 Inference: Why my statistics professor thought I might have cheated,Choosing an appropriate significance level involves an inherent trade-off.,
9 Inference: Why my statistics professor thought I might have cheated,"As a result, we have a fundamental dilemma when it comes to any kind of hypothesis testing",
9 Inference: Why my statistics professor thought I might have cheated,"The powerful process of statistical inference is based on probability, not on some kind of cosmic certainty",
9 Inference: Why my statistics professor thought I might have cheated,"For all the wonders of statistical inference, there are some significant pitfalls",
9 Inference: Why my statistics professor thought I might have cheated,The important thing is that we can use this standard error to calculate the probability that two samples come from the same population,
9 Inference: Why my statistics professor thought I might have cheated,"It turns out that we can calculate a standard error for the difference between two sample means; this standard error gives us a measure of the dispersion we can expect, on average, when we subtract one sample mean from the other",
9 Inference: Why my statistics professor thought I might have cheated,"If we draw two large samples from the same population, we would expect them to have very similar means. In fact, our best guess is that they will have identical means",
9 Inference: Why my statistics professor thought I might have cheated,"Meanwhile, a finding that there is “no statistically significant association” between two variables means that any relationship between the two variables can reasonably be explained by chance alone",
9 Inference: Why my statistics professor thought I might have cheated,"One of the first questions you want to ask is, How big is this effect? It could easily be .9 points; on a test with a mean score of 500, that is not a life-changing figure",
9 Inference: Why my statistics professor thought I might have cheated,I should also point out that statistical significance says nothing about the size of the association,"Just because there's a 20% reduction (or increase) doesn't necessarily matter - what the original chance was 0.005, would a 20% reduction or increase actually matter?"
9 Inference: Why my statistics professor thought I might have cheated,This threshold should be established by the researchers before they do their statistical analysis to avoid choosing a threshold after the fact that is convenient for making the results look significant,
9 Inference: Why my statistics professor thought I might have cheated,"If the .05 significance level seems somewhat arbitrary, that’s because it is. There is no single standardized statistical threshold for rejecting a null hypothesis. Both .01 and .1 are also reasonably common thresholds for doing the kind of analysis described above",
9 Inference: Why my statistics professor thought I might have cheated,The p-value is the specific probability of getting a result at least as extreme as the one you’ve observed if the null hypothesis is true,
9 Inference: Why my statistics professor thought I might have cheated,Let’s think about a significance level of .05. We can reject a null hypothesis at the .05 level if there is less than a 5 percent chance of getting an outcome at least as extreme as what we’ve observed if the null hypothesis were true,
9 Inference: Why my statistics professor thought I might have cheated,"Researchers typically ask, If the null hypothesis is true, how likely is it that we would observe this pattern of data by chance",
9 Inference: Why my statistics professor thought I might have cheated,"As noted above, statistics alone cannot prove anything; instead, we use statistical inference to accept or reject explanations on the basis of their relative likelihood","""explanations"" = The null hypothesis (that the observed effects were caused by chance and *not* the treatment)"
9 Inference: Why my statistics professor thought I might have cheated,One of the most common tools in statistical inference is hypothesis testing,
9 Inference: Why my statistics professor thought I might have cheated,using probability to determine the most likely explanation for that outcome,
9 Inference: Why my statistics professor thought I might have cheated,Statistics cannot prove anything with certainty,
8 The Central Limit Theorem: The Lebron James of statistics,"large samples, we can assume that the standard deviation of the sample is reasonably close to the standard deviation of the population",
8 The Central Limit Theorem: The Lebron James of statistics,The standard error will be large when the standard deviation of the underlying distribution is large.,
8 The Central Limit Theorem: The Lebron James of statistics,Sample means will cluster more tightly around the population mean as the size of each sample gets larger,
8 The Central Limit Theorem: The Lebron James of statistics,Here is what ties the two concepts together: The standard error is the standard deviation of the sample means,
8 The Central Limit Theorem: The Lebron James of statistics,The standard error measures the dispersion of the sample means,
8 The Central Limit Theorem: The Lebron James of statistics,The standard deviation measures dispersion in the underlying population,
8 The Central Limit Theorem: The Lebron James of statistics,two different measures of dispersion: the standard deviation and the standard error. Here is what you need to remember to keep them straight:,
8 The Central Limit Theorem: The Lebron James of statistics,The standard error measures the dispersion of the sample means. How tightly do we expect the sample means to cluster around the population mean,
8 The Central Limit Theorem: The Lebron James of statistics,"The larger the number of samples, the more closely the distribution will approximate the normal distribution. And the larger the size of each sample, the tighter that distribution will be",
8 The Central Limit Theorem: The Lebron James of statistics,The whole point of a representative sample is that it looks like the underlying population,
8 The Central Limit Theorem: The Lebron James of statistics,our best guess for what the mean of any sample will be is the mean of the population from which it’s drawn,
8 The Central Limit Theorem: The Lebron James of statistics,"According to the central limit theorem, the sample means for any population will be distributed roughly as a normal distribution around the population mean",
8 The Central Limit Theorem: The Lebron James of statistics,"if we know the underlying characteristics of two samples, we can infer whether or not both samples were likely drawn from the same population",
8 The Central Limit Theorem: The Lebron James of statistics,"If we have data describing a particular sample, and data on a particular population, we can infer whether or not that sample is consistent with a sample that is likely to be drawn from that population",
8 The Central Limit Theorem: The Lebron James of statistics,"If a sample usually looks like the population from which it’s drawn, it must also be true that a population will usually look like a sample drawn from that population",
8 The Central Limit Theorem: The Lebron James of statistics,inferences about the population from which that sample was drawn,
8 The Central Limit Theorem: The Lebron James of statistics,"If we have detailed information about a properly drawn sample (mean and standard deviation), we can make strikingly accurate",
8 The Central Limit Theorem: The Lebron James of statistics,"If we have detailed information about some population, then we can make powerful inferences about any properly drawn sample from that population",
8 The Central Limit Theorem: The Lebron James of statistics,"The core principle underlying the central limit theorem is that a large, properly drawn sample will resemble the population from which it is drawn.",
8 The Central Limit Theorem: The Lebron James of statistics,"if you understand the central limit theorem, most forms of statistical inference will seem relatively intuitive",
"7 The Importance of Data: “Garbage in, garbage out”",Recall bias is one reason that longitudinal studies are often preferred to cross-sectional studies.,
"7 The Importance of Data: “Garbage in, garbage out”",Memory is a fascinating thing—though not always a great source of good data. We have a natural human impulse to understand the present as a logical consequence of things that happened in the past—cause and effect,
"7 The Importance of Data: “Garbage in, garbage out”",Recall bias,
"7 The Importance of Data: “Garbage in, garbage out”","Here is the first sentence of a New York Times article on the publication bias surrounding drugs for treating depression: “The makers of antidepressants like Prozac and Paxil never published the results of about a third of the drug trials that they conducted to win government approval, misleading doctors and consumers about the drugs’ true effectiveness.”4 It turns out that 94 percent of studies with positive findings on the effectiveness of these drugs were published, while only 14 percent of the studies with nonpositive results were published. For patients dealing with depression, this is a big deal. When all the studies are included, the antidepressants are better than a placebo by only “a modest margin.”",
"7 The Importance of Data: “Garbage in, garbage out”","Here is the problem: The 99 studies that find no link between video games and colon cancer will not get published, because they are not very interesting. The one study that does find a statistical link will make it into print and get loads of follow-on attention",
"7 The Importance of Data: “Garbage in, garbage out”","one important recurring idea in statistics is that unusual things happen every once in a while, just as a matter of chance. If you conduct 100 studies, one of them is likely to turn up results that are pure nonsense—like a statistical association between playing video games and a lower incidence of colon cancer",
"7 The Importance of Data: “Garbage in, garbage out”","Positive findings are more likely to be published than negative findings, which can skew the results that we see",
"7 The Importance of Data: “Garbage in, garbage out”",Publication bias,
"7 The Importance of Data: “Garbage in, garbage out”","A related source of bias, known as self-selection bias, will arise whenever",
"7 The Importance of Data: “Garbage in, garbage out”",individuals volunteer to be in a treatment group,
"7 The Importance of Data: “Garbage in, garbage out”","As polls with good samples get larger, they get better, since the margin of error shrinks. As polls with bad samples get larger, the pile of garbage just gets bigger and smellier",
"7 The Importance of Data: “Garbage in, garbage out”",Selection bias can be introduced in many other ways,Survey takers are likely different in key characteristics from the population you actually want to study. The US presidential popular vote winner won the most votes *of the relatively few people who voted* because voter turn out is historically very low relative to the population of *eligible* voters.
"7 The Importance of Data: “Garbage in, garbage out”","it introduces the question one should always ask: How have we chosen the sample or samples that we are evaluating? If each member of the relevant population does not have an equal chance of ending up in the sample, we are going to have a problem with whatever results emerge from that sample",
"7 The Importance of Data: “Garbage in, garbage out”",Selection bias,
"7 The Importance of Data: “Garbage in, garbage out”",,"You're not cooking the statistics, you're cooking the data to get the statistical results you want; the methods used to get the stats is generally good and correctly applied
"
"7 The Importance of Data: “Garbage in, garbage out”","equivalent of a Toyota is a cross-sectional data set, which is a collection of data gathered at a single point in time",
"7 The Importance of Data: “Garbage in, garbage out”","Not surprisingly, we can’t always have the Ferrari",
"7 The Importance of Data: “Garbage in, garbage out”",Longitudinal data sets are the research equivalent of a Ferrari,
"7 The Importance of Data: “Garbage in, garbage out”","A longitudinal study collects information on a large group of subjects at many different points in time, such as once every two years",
"7 The Importance of Data: “Garbage in, garbage out”","evidence will prove useful, some will not.",
"7 The Importance of Data: “Garbage in, garbage out”",Some of this,
"7 The Importance of Data: “Garbage in, garbage out”",We sometimes have no specific idea what we will do with the information—but we suspect it will come in handy at some point,
"7 The Importance of Data: “Garbage in, garbage out”","we assume that randomization will evenly divide all relevant characteristics between the two groups—both the characteristics we can observe, like race or income, but also confounding characteristics that we cannot measure or had not considered, such as perseverance or faith.",
"7 The Importance of Data: “Garbage in, garbage out”"," this reason, the “gold standard” of research is randomization, a process by which human subjects (or schools, or hospitals, or whatever we’re studying) are randomly assigned to either the treatment or the control group.",
"7 The Importance of Data: “Garbage in, garbage out”","the goal is to find two groups of subjects who are broadly similar except for the application of whatever “treatment” we care about. In a social science context, the word “treatment” is broad enough to encompass anything from being a sexually frustrated fruit fly to receiving an income tax rebate",
"7 The Importance of Data: “Garbage in, garbage out”",The second thing we often ask of data is that they provide some source of comparison,
"7 The Importance of Data: “Garbage in, garbage out”","a large, biased sample is arguably worse than a small, biased sample because it will give a false sense of confidence regarding the results.",
"7 The Importance of Data: “Garbage in, garbage out”","One crucial caveat is that a bigger sample will not make up for errors in its composition, or “bias",
"7 The Importance of Data: “Garbage in, garbage out”","Many of the most egregious statistical assertions are caused by good statistical methods applied to bad samples, not the opposite",
"7 The Importance of Data: “Garbage in, garbage out”",The key idea is that a properly drawn sample will look like the population from which it is drawn.,
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"For all the elegance and precision of probability, there is no substitute for thinking about what calculations we are doing and why we are doing them.",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,"talent-related effort plus an element of luck, good or bad. (Statisticians would call this random error.) In any case, those individuals who perform far above the mean for some stretch are likely to have had luck on their side; those who perform far below the mean are likely to have had bad luck. (In the case of an exam, think about students guessing right or wrong; in the case of a baseball player, think about a hit that can either go foul or land one foot fair for a triple",
6 Problems with Probability: How overconfident math geeks nearly destroyed the global financial system,One way to think about this mean reversion is that performance—both mental and physical—consists of some underlying,
